"d_pres_fav","r_pres_fav","vt_pres_2","vt_pres_4","vt_sen","vt_gov","likely","scale","partyid","sample","phoneuse","gender","educ","hisp","cuban","race","age","racer","turnout_score","turnout_class","region","rvweight","likelyyn","lvweight","file_race","file_party","file_county","file_age","state","poll","poll_id","file_vt16","file_vt14","file_vt12"
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Somewhat likely","Five","Democrat","Cell","Cell Phone only","Female","High school","Yes",NA,"Caucasian/White",18,"Hispanic/Latino",0.737572272,NA,"Piedmont-Triad",0.913350701332092,0,0.336831075957152,"Hispanic","Democratic","Forsyth",18,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","or as a member of another political party","Landline","Landline and Cell Phone","Male","High school","No",NA,"Caucasian/White",51,"Caucasian/White",0.992828357,NA,"Western",1.00502574443817,1,1.00142190151571,"White","Republican","Macon",51,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline only","Female","High school","No",NA,"Caucasian/White",73,"Caucasian/White",0.992070883,NA,"Western",0.763829112052917,1,0.760800866854181,"White","Democratic","Rutherford",72,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",65,"Caucasian/White",0.811520221,NA,"North Central",1.20740270614624,1,1.09361720853702,"White","Republican","Wake",64,"North Carolina","October","North Carolina October",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"African American/Black",38,"African American/Black",0.971510788,NA,"Piedmont-Triad",0.838050365447998,1,0.826112668184035,"Black","Democratic","Guilford",38,"North Carolina","October","North Carolina October",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline only","Female","High school","No",NA,"Caucasian/White",56,"Caucasian/White",0.743273464,NA,"Southwest",0.82303375005722,1,0.717386448225581,"White","Other","Gaston",55,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","[DO NOT READ] Someone else (specify)","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Not at all likely","One (definitely will NOT vote)","Independent (No party)","Landline","Landline only","Male","High school","No",NA,"Asian",40,"[DO NOT READ] Other/Something else (specify)",0.229350633,NA,"East/ South Central",1.60882878303528,0,0.18449294988888,"Black","Democratic","Beaufort",40,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",44,"Caucasian/White",0.9488891,NA,"Southwest",1.09238946437836,1,1.06447296004091,"White","Republican","Gaston",44,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Graduate or Professional degree","No",NA,"Caucasian/White",72,"Caucasian/White",0.992217946,NA,"Western",0.763829112052917,1,0.760857032354534,"White","Democratic","Ashe",72,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Favorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Male","High school","Yes",NA,"[DO NOT READ] Other/Something else (specify)",49,"Hispanic/Latino",0.589110458,NA,"East/ South Central",0.920785844326019,1,0.731615207398419,"Hispanic","Democratic","Robeson",48,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Already voted","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",82,"Caucasian/White",0.996388468,NA,"East/ South Central",1.13421618938446,0,1.13421618938446,"White","Republican","New Hanover",81,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",53,"Caucasian/White",0.552710598,NA,"North Central",1.05936682224274,1,0.82244504603294,"White","Other","Wilson",24,"North Carolina","October","North Carolina October",0,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",39,"Caucasian/White",0.989253496,NA,"Southwest",1.09238946437836,1,1.08651978050411,"White","Republican","Mecklenburg",39,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Somewhat likely","Nine","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"African American/Black",50,"African American/Black",0.994060865,NA,"Piedmont-Triad",0.815327405929565,0,0.405242533198275,"Black","Democratic","Guilford",50,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Bachelors' degree","Yes",NA,"[DO NOT READ] Other/Something else (specify)",26,"Hispanic/Latino",0.877652333,NA,"East/ South Central",0.776593923568726,1,0.729086696191221,"White","Other","Wayne",25,"North Carolina","October","North Carolina October",0,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Graduate or Professional degree","No",NA,"Caucasian/White",25,"Caucasian/White",0.542506887,NA,"East/ South Central",1.1438729763031,1,0.88221597190036,"White","Republican","Pitt",25,"North Carolina","October","North Carolina October",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","[DO NOT READ] Don't know/No opinion","Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Bachelors' degree","Yes",NA,"African American/Black",30,"Hispanic/Latino",0.733091884,NA,"East/ South Central",0.882072746753693,1,0.764356559248206,"Black","Other","Pitt",29,"North Carolina","October","North Carolina October",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",74,"Caucasian/White",0.995734605,NA,"Western",0.752003908157349,1,0.750400111302431,"White","Other","Buncombe",74,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","High school","No",NA,"African American/Black",51,"African American/Black",0.826085337,NA,"Piedmont-Triad",0.935980200767517,1,0.854589860171939,"Black","Democratic","Guilford",50,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Graduate or Professional degree","No",NA,"Caucasian/White",34,"Caucasian/White",0.585793822,NA,"Southwest",0.977366924285889,1,0.774951215179852,"White","Other","Cabarrus",34,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Nine","Republican","Cell","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",42,"Caucasian/White",0.774436881,NA,"East/ South Central",1.04440307617188,1,0.926613668494614,"White","Republican","New Hanover",42,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","High school","No",NA,"African American/Black",21,"African American/Black",0.539096975,NA,"North Central",1.22999584674835,1,0.946541443496476,"Black","Democratic","Wake",20,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline only","Female","Some college or trade school","No",NA,"Caucasian/White",26,"Caucasian/White",0.896237682,NA,"Southwest",1.19642949104309,1,1.134357342386,"White","Republican","Iredell",26,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Unfavorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Somewhat likely","Six","Republican","Cell","Cell Phone only","Male","High school","No",NA,"Caucasian/White",18,"Caucasian/White",0.737572272,NA,"East/ South Central",1.1438729763031,0,0.42184449500564,"White","Republican","Cumberland",18,"North Carolina","October","North Carolina October",0,0,0
"Unfavorable","Unfavorable","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Nine","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",37,"Caucasian/White",0.620765117,NA,"Southwest",0.84597373008728,1,0.685562355811919,"White","Other","Union",37,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Won't vote","Pat McCrory, the Republican","Almost certain","Six","Independent (No party)","Landline","Landline only","Male","High school","No",NA,"Caucasian/White",40,"Caucasian/White",0.223801175,NA,"Piedmont-Triad",1.80983638763428,0,0.202521755055153,"White","Republican","Rockingham",40,"North Carolina","October","North Carolina October",0,0,0
"Unfavorable","[DO NOT READ] Don't know/No opinion","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",49,"Caucasian/White",0.980969617,NA,"Western",0.895370662212372,1,0.886851038897939,"Black","Other","Caldwell",49,"North Carolina","October","North Carolina October",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",51,"Caucasian/White",0.924316725,NA,"East/ South Central",0.689834356307983,1,0.663729894661531,"White","Other","Columbus",50,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",40,"Caucasian/White",0.992899239,NA,"North Central",0.84256911277771,1,0.839577671829802,"White","Other","Wake",40,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",53,"Caucasian/White",0.901253536,NA,"North Central",0.832611680030823,1,0.791502950386751,"White","Democratic","Warren",53,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Richard Burr, the Republican","Roy Cooper, the Democrat","Not at all likely","Four","Independent (No party)","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",33,"Caucasian/White",0.486063421,NA,"Southwest",1.47350609302521,0,0.358108706220088,"Other","Other","Anson",33,"North Carolina","October","North Carolina October",0,0,0
"Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Already voted","Ten (definitely will vote)","Independent (No party)","Cell","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",43,"Caucasian/White",0.897850747,NA,"East/ South Central",0.819186985492706,0,0.819186985492706,"White","Other","Cumberland",43,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","[DO NOT READ] Refused","Landline","Landline and Cell Phone","Female","High school","No",NA,"Caucasian/White",50,"Caucasian/White",0.769267416,NA,"East/ South Central",0.685451805591583,1,0.606373772435777,"White","Other","Gates",50,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",75,"Caucasian/White",0.997088485,NA,"East/ South Central",0.777174413204193,1,0.776043035723363,"White","Democratic","Cumberland",75,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Already voted","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Female","High school","Yes",NA,"African American/Black",74,"Hispanic/Latino",0.82663058,NA,"Southwest",1.05991148948669,0,1.05991148948669,"Black","Democratic","Mecklenburg",74,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Landline and Cell Phone","Male","Bachelors' degree","No",NA,"Caucasian/White",26,"Caucasian/White",0.557463299,NA,"East/ South Central",0.90552544593811,1,0.705161324179608,"White","Democratic","New Hanover",26,"North Carolina","October","North Carolina October",0,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"Caucasian/White",37,"Caucasian/White",0.994414867,NA,"North Central",0.84256911277771,1,0.840216182499432,"White","Other","Durham",37,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Graduate or Professional degree","No",NA,"Caucasian/White",61,"Caucasian/White",0.54056621,NA,"East/ South Central",0.685451805591583,1,0.527991945138941,"White","Other","Duplin",61,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","High school","No",NA,"Caucasian/White",22,"Caucasian/White",0.706104276,NA,"Western",1.12423515319824,1,0.959031201050518,"White","Republican","Haywood",22,"North Carolina","October","North Carolina October",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Pat McCrory, the Republican","Very likely","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Refused","Landline","Refused","Female","[DO NOT READ] Refused","[DO NOT READ] Refused",NA,"[DO NOT READ] Refused",0,"[DO NOT READ] Refused",0.977089059,NA,"Southwest",0.918716609477997,0,0.448833973721263,"White","Other","Iredell",84,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Independent (No party)","Cell","Cell Phone only","Male","Some college or trade school","Yes",NA,"[DO NOT READ] Refused",34,"Hispanic/Latino",0.993521811,NA,"Piedmont-Triad",0.86665403842926,1,0.863846864099981,"Other","Democratic","Forsyth",34,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Seven","Independent (No party)","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",21,"Caucasian/White",0.488892475,NA,"Southwest",1.82224106788635,0,0.445439972862801,"White","Other","Lincoln",21,"North Carolina","October","North Carolina October",0,0,0
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Female","Graduate or Professional degree","No",NA,"Caucasian/White",58,"Caucasian/White",0.996038674,NA,"Piedmont-Triad",0.713268339633942,1,0.711855595424557,"White","Democratic","Guilford",58,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Male","Some college or trade school","No",NA,"Caucasian/White",41,"Caucasian/White",0.996099444,NA,"North Central",1.24898946285248,1,1.24655358618084,"White","Republican","Chatham",41,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Independent (No party)","Landline","Landline and Cell Phone","Female","Graduate or Professional degree","No",NA,"Caucasian/White",64,"Caucasian/White",0.99732023,NA,"East/ South Central",0.689834356307983,1,0.688910057601482,"White","Other","Beaufort",64,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","Some college or trade school","No",NA,"Caucasian/White",53,"Caucasian/White",0.64892443,NA,"North Central",1.20740270614624,1,0.995457909506323,"White","Republican","Johnston",53,"North Carolina","October","North Carolina October",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",25,"Caucasian/White",0.256551184,NA,"East/ South Central",1.31359994411469,1,0.825302782539821,"White","Other","Hoke",24,"North Carolina","October","North Carolina October",1,0,0
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Nine","Independent (No party)","Cell","Cell Phone only","Female","Graduate or Professional degree","No",NA,"African American/Black",38,"African American/Black",0.620765117,NA,"East/ South Central",0.720892012119293,1,0.584198313183446,"Other","Other","Cumberland",37,"North Carolina","October","North Carolina October",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Landline","Landline and Cell Phone","Male","Some college or trade school","Yes",NA,"Caucasian/White",61,"Hispanic/Latino",0.960338561,NA,"East/ South Central",0.82827490568161,1,0.811849618358149,"Other","Democratic","Beaufort",61,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Already voted","Ten (definitely will vote)","Independent (No party)","Cell","Landline and Cell Phone","Male","Graduate or Professional degree","No",NA,"Caucasian/White",41,"Caucasian/White",0.91951389,NA,"Southwest",1.26205444335938,0,1.26205444335938,"White","Republican","Mecklenburg",41,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",44,"Caucasian/White",0.996391814,NA,"East/ South Central",0.909776449203491,1,0.908135127879918,"White","Republican","Richmond",44,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Richard Burr, the Republican","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Landline and Cell Phone","Male","Some college or trade school","No",NA,"African American/Black",59,"African American/Black",0.996203936,NA,"East/ South Central",0.925340235233307,1,0.923583909855947,"Black","Democratic","Lenoir",59,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","or as a member of another political party","Cell","Landline and Cell Phone","Female","Bachelors' degree","No",NA,"African American/Black",36,"African American/Black",0.994521844,NA,"North Central",0.963130831718445,1,0.960492741246163,"Black","Other","Johnston",35,"North Carolina","October","North Carolina October",1,1,1
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Already voted","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",40,"Caucasian/White",0.797799522,NA,"East/ South Central",1.04440307617188,0,1.04440307617188,"White","Republican","Cumberland",40,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","[DO NOT READ] Won't vote","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Graduate or Professional degree","No",NA,"Caucasian/White",49,"Caucasian/White",0.992602966,NA,"Western",0.869911193847656,1,0.86669381250872,"White","Republican","Henderson",45,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Seven","Democrat","Cell","Cell Phone only","Female","Some college or trade school","No",NA,"Caucasian/White",24,"Caucasian/White",0.753231207,NA,"East/ South Central",0.783794045448303,0,0.295189067446219,"White","Democratic","Pasquotank",24,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Very likely","Seven","Republican","Cell","Cell Phone only","Male","Some college or trade school","No",NA,"Caucasian/White",34,"Caucasian/White",0.244100391,NA,"Piedmont-Triad",1.43272650241852,0,0.174864549718211,"White","Democratic","Davidson",34,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Almost certain","Ten (definitely will vote)","Republican","Landline","Landline and Cell Phone","Female","High school","No",NA,"Caucasian/White",62,"Caucasian/White",0.994079999,NA,"East/ South Central",0.885108768939972,1,0.882488846541355,"White","Republican","Cumberland",62,"North Carolina","October","North Carolina October",1,1,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Almost certain","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Female","Bachelors' degree","No",NA,"Caucasian/White",45,"Caucasian/White",0.641879386,NA,"East/ South Central",0.715635120868683,1,0.587493276425954,"White","Democratic","Pender",36,"North Carolina","October","North Carolina October",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Very likely","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Refused","Cell","Refused","Male","[DO NOT READ] Refused","[DO NOT READ] Refused",NA,"[DO NOT READ] Refused",0,"[DO NOT READ] Refused",0.627501551,NA,"North Central",1.05936682224274,0,0.332377162017629,"White","Other","Lee",23,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Very likely","Ten (definitely will vote)","[DO NOT READ] Refused","Landline","Refused","Male","[DO NOT READ] Refused","[DO NOT READ] Refused",NA,"[DO NOT READ] Refused",0,"[DO NOT READ] Refused",0.781427646,NA,"Piedmont-Triad",1.14724957942963,1,1.0218710588289,"White","Republican","Davidson",72,"North Carolina","October","North Carolina October",1,0,1
"Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Richard Burr, the Republican","Roy Cooper, the Democrat","Already voted","Ten (definitely will vote)","Republican","Cell","Cell Phone only","Male","Bachelors' degree","No",NA,"Caucasian/White",31,"Caucasian/White",0.496740907,NA,"East/ South Central",1.38565611839294,0,1.38565611839294,"White","Other","Moore",31,"North Carolina","October","North Carolina October",1,0,0
"Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Someone else (specify)","[DO NOT READ] Won't vote","Pat McCrory, the Republican","Somewhat likely","Seven","or as a member of another political party","Cell","Landline and Cell Phone","Male","Some college or trade school","No",NA,"African American/Black",35,"African American/Black",0.793876159,NA,"Southwest",1.13478517532349,0,0.450439448137975,"Black","Democratic","Mecklenburg",34,"North Carolina","October","North Carolina October",1,0,1
"Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Very likely","Ten (definitely will vote)","Democrat","Cell","Cell Phone only","Male","High school","No",NA,"African American/Black",18,"African American/Black",0.737572272,NA,"North Central",1.22999584674835,1,1.06860333899255,"Black","Democratic","Harnett",18,"North Carolina","October","North Carolina October",1,0,0
