state,sex,age,race
Colorado,Male,15,White
Nevada,Male,34,White
North Carolina,Female,37,"Other race, nec"
Minnesota,Male,50,White
Illinois,Female,47,Black/Negro
Arizona,Female,3,White
Nevada,Male,39,"Other race, nec"
Arizona,Female,29,White
Indiana,Female,4,White
New Mexico,Male,59,White
Texas,Female,53,Black/Negro
Iowa,Female,5,Two major races
Ohio,Female,54,White
North Carolina,Male,35,White
New York,Male,28,White
New Jersey,Female,22,Black/Negro
New Jersey,Female,47,"Other race, nec"
Oregon,Female,41,Black/Negro
California,Male,17,Black/Negro
California,Male,3,White
Michigan,Male,13,White
Texas,Male,70,Black/Negro
New York,Female,17,Black/Negro
Louisiana,Female,71,White
Alabama,Female,10,White
Kentucky,Female,1,Other Asian or Pacific Islander
New York,Male,54,Chinese
Virginia,Female,57,White
North Carolina,Female,48,Black/Negro
Mississippi,Male,40,White
Florida,Male,74,White
Oregon,Male,57,White
Michigan,Male,26,White
Wisconsin,Female,62,White
Kentucky,Female,46,Black/Negro
Minnesota,Female,24,White
Washington,Male,22,Two major races
Michigan,Female,34,White
Pennsylvania,Male,15,White
Pennsylvania,Female,56,White
Florida,Female,11,White
Minnesota,Female,57,White
Texas,Male,42,White
Florida,Female,85,White
New York,Male,63,White
Texas,Male,81,White
Florida,Female,23,Black/Negro
Texas,Male,12,White
Illinois,Male,21,Black/Negro
Connecticut,Female,63,White
West Virginia,Female,45,White
Massachusetts,Female,3,White
North Carolina,Female,35,White
California,Male,29,White
South Dakota,Female,82,White
Wisconsin,Male,90,White
Maryland,Male,50,White
Oklahoma,Female,50,American Indian or Alaska Native
Washington,Female,18,Two major races
California,Male,2,White
Georgia,Male,21,White
Florida,Female,6,White
North Carolina,Female,62,White
Michigan,Female,31,White
Washington,Male,40,White
South Carolina,Female,46,White
Kansas,Male,31,White
Texas,Female,26,"Other race, nec"
Florida,Female,89,White
Pennsylvania,Male,27,White
California,Female,66,Other Asian or Pacific Islander
Massachusetts,Male,14,White
California,Female,60,White
California,Female,3,Black/Negro
Delaware,Female,5,White
California,Female,60,White
Montana,Male,5,White
California,Male,15,White
Minnesota,Female,63,White
South Dakota,Female,59,White
Washington,Male,25,White
Alabama,Female,51,Black/Negro
South Carolina,Male,86,Black/Negro
Maryland,Male,58,Black/Negro
Virginia,Male,49,White
New York,Male,8,Two major races
Indiana,Female,22,White
New Hampshire,Male,21,White
Wyoming,Female,53,White
Illinois,Male,56,White
Florida,Female,63,White
New Jersey,Male,49,Black/Negro
New Jersey,Female,4,White
Texas,Female,47,Black/Negro
Rhode Island,Male,71,White
Arizona,Male,82,White
Virginia,Female,35,Other Asian or Pacific Islander
South Carolina,Male,8,White
Wisconsin,Male,69,White
South Carolina,Female,17,White
Maryland,Male,0,Black/Negro
Florida,Male,37,Black/Negro
Colorado,Male,59,White
North Carolina,Male,14,White
Rhode Island,Female,52,White
Virginia,Male,9,"Other race, nec"
Ohio,Female,57,White
Minnesota,Female,25,White
Missouri,Female,14,White
Utah,Male,55,White
Texas,Female,9,American Indian or Alaska Native
Alaska,Male,23,Two major races
California,Female,10,Black/Negro
Colorado,Female,32,White
Maryland,Female,2,Black/Negro
California,Male,38,Other Asian or Pacific Islander
Mississippi,Male,43,White
North Carolina,Male,48,Two major races
Michigan,Male,1,White
California,Male,48,Black/Negro
California,Female,30,White
New Jersey,Male,79,Chinese
New York,Male,38,White
California,Female,26,"Other race, nec"
Washington,Female,51,White
Missouri,Female,39,Three or more major races
California,Male,66,White
Tennessee,Female,27,White
Ohio,Female,61,White
Illinois,Female,14,Black/Negro
New Jersey,Male,20,Black/Negro
Tennessee,Male,41,White
Florida,Female,56,White
Washington,Male,47,White
Minnesota,Male,47,White
New York,Female,39,White
New Jersey,Female,38,White
Colorado,Male,60,White
Texas,Female,54,Other Asian or Pacific Islander
Washington,Female,9,White
Georgia,Female,72,White
Delaware,Male,34,Black/Negro
New York,Male,7,White
Texas,Male,14,White
California,Male,7,Two major races
Iowa,Male,2,White
Maryland,Male,7,Black/Negro
Massachusetts,Female,52,White
Tennessee,Female,49,White
Pennsylvania,Male,55,White
Colorado,Male,40,White
Virginia,Male,29,White
Florida,Female,36,White
Kentucky,Male,20,White
North Carolina,Female,10,White
California,Female,37,Black/Negro
Arizona,Female,62,White
California,Male,62,Chinese
Colorado,Male,62,White
Colorado,Female,18,White
Arizona,Female,62,"Other race, nec"
Oregon,Female,17,White
New York,Female,67,White
Georgia,Male,54,Black/Negro
South Carolina,Male,18,Black/Negro
California,Male,35,"Other race, nec"
Texas,Female,45,White
Massachusetts,Female,36,White
Colorado,Male,23,White
California,Female,1,"Other race, nec"
Florida,Male,82,White
Maryland,Female,51,White
Michigan,Female,1,Black/Negro
Kansas,Female,35,White
Maryland,Female,27,Two major races
Maryland,Female,50,White
California,Female,48,White
Texas,Male,48,White
Maryland,Female,53,Black/Negro
Rhode Island,Female,46,White
California,Female,40,White
Arizona,Female,44,White
Colorado,Male,29,White
Georgia,Male,78,Black/Negro
Florida,Female,31,White
California,Male,65,White
Texas,Female,34,Black/Negro
Tennessee,Female,60,White
Louisiana,Male,19,Black/Negro
California,Male,16,Chinese
Virginia,Male,63,White
Washington,Female,32,White
California,Female,2,White
Maryland,Female,14,American Indian or Alaska Native
Colorado,Male,35,Two major races
Alabama,Male,70,White
New Jersey,Female,23,White
Missouri,Female,70,White
California,Female,19,"Other race, nec"
New Jersey,Male,45,White
Texas,Male,8,White
California,Female,30,White
Massachusetts,Female,28,White
Illinois,Male,20,"Other race, nec"
North Carolina,Male,35,Black/Negro
Texas,Male,50,White
Louisiana,Male,55,White
New Jersey,Male,27,Two major races
Illinois,Female,11,White
Texas,Male,24,Two major races
New York,Female,38,White
South Carolina,Male,54,White
Maine,Female,34,White
Alaska,Female,44,White
Ohio,Male,12,White
North Carolina,Female,59,Black/Negro
Nevada,Male,12,White
Minnesota,Male,56,White
Florida,Female,3,White
Maryland,Female,43,Black/Negro
Kansas,Male,26,White
Washington,Female,39,White
Texas,Male,45,Other Asian or Pacific Islander
Pennsylvania,Female,6,White
South Carolina,Male,63,Black/Negro
New Jersey,Female,85,White
Arkansas,Male,63,White
Florida,Male,21,White
Kentucky,Male,47,White
Iowa,Female,26,White
Idaho,Female,77,White
Connecticut,Female,94,White
North Carolina,Male,45,White
Florida,Female,2,"Other race, nec"
Hawaii,Female,53,Three or more major races
Texas,Male,82,White
Georgia,Male,13,Black/Negro
Illinois,Female,22,Black/Negro
South Carolina,Male,23,White
Oklahoma,Female,40,White
Georgia,Female,65,White
New York,Female,23,Two major races
Maryland,Female,22,White
Montana,Male,38,American Indian or Alaska Native
Rhode Island,Female,67,White
Ohio,Male,6,White
Kentucky,Female,55,White
Ohio,Female,44,White
Florida,Male,55,White
Texas,Female,2,White
Florida,Male,36,White
Connecticut,Male,79,Black/Negro
Nevada,Male,2,White
Florida,Male,72,White
California,Female,24,"Other race, nec"
New York,Male,21,White
Ohio,Male,68,Black/Negro
Washington,Female,29,White
Texas,Female,23,White
Illinois,Female,45,White
Tennessee,Male,77,White
Ohio,Male,33,White
California,Male,79,White
Pennsylvania,Female,61,White
Illinois,Female,54,Black/Negro
Oklahoma,Female,27,"Other race, nec"
Texas,Male,11,"Other race, nec"
Texas,Male,48,White
New Jersey,Female,38,Black/Negro
Massachusetts,Male,71,White
Florida,Female,51,Black/Negro
Wisconsin,Male,50,White
Missouri,Male,18,White
California,Female,93,White
California,Male,1,White
California,Male,31,White
Virginia,Female,3,White
Virginia,Female,12,White
Texas,Male,58,White
Mississippi,Female,85,Black/Negro
New York,Female,59,White
Delaware,Female,67,White
Mississippi,Female,14,Black/Negro
Indiana,Male,45,Black/Negro
Minnesota,Female,1,"Other race, nec"
New Jersey,Male,22,White
Ohio,Male,28,White
Florida,Female,58,White
Florida,Male,2,White
Colorado,Female,15,White
Oklahoma,Female,40,Black/Negro
Kansas,Female,35,White
New York,Female,4,White
California,Female,40,White
Mississippi,Male,42,White
New York,Male,3,Black/Negro
Tennessee,Male,43,White
Arizona,Male,50,White
South Carolina,Female,39,Black/Negro
North Carolina,Female,19,White
Virginia,Male,20,White
New York,Male,19,White
Wisconsin,Female,24,Other Asian or Pacific Islander
Nevada,Male,63,White
Michigan,Female,7,White
Minnesota,Male,16,White
Delaware,Male,16,Black/Negro
California,Female,57,Black/Negro
Tennessee,Female,57,White
Maryland,Male,29,Black/Negro
Texas,Male,50,Black/Negro
Missouri,Male,2,White
Indiana,Female,30,White
Colorado,Male,3,Two major races
Massachusetts,Female,39,White
New Jersey,Male,4,Two major races
California,Male,44,White
Florida,Female,59,White
Nevada,Male,31,White
Utah,Female,2,Other Asian or Pacific Islander
Tennessee,Female,81,White
North Carolina,Male,66,Black/Negro
Virginia,Female,12,Black/Negro
Arizona,Male,56,White
Kentucky,Female,17,"Other race, nec"
Ohio,Female,31,Black/Negro
California,Female,4,White
Tennessee,Female,6,White
North Carolina,Male,73,White
California,Female,0,White
West Virginia,Female,36,White
Washington,Female,26,White
Georgia,Male,20,White
Wisconsin,Male,4,White
New York,Female,9,White
South Carolina,Female,14,White
Indiana,Female,61,White
Kentucky,Female,69,White
New York,Male,51,White
Kansas,Male,20,White
Arkansas,Female,56,American Indian or Alaska Native
Rhode Island,Male,32,White
Minnesota,Female,7,White
Pennsylvania,Male,58,White
Texas,Female,12,White
Illinois,Male,55,"Other race, nec"
Virginia,Male,24,White
Arizona,Male,93,White
Missouri,Female,31,White
Florida,Female,67,White
Nebraska,Male,52,White
Arkansas,Male,36,Black/Negro
Oklahoma,Male,93,White
Indiana,Male,19,White
Georgia,Female,35,White
Texas,Female,26,White
Colorado,Female,31,White
Georgia,Female,43,Black/Negro
Indiana,Female,11,White
South Carolina,Male,10,White
Florida,Male,49,White
Iowa,Male,9,White
Minnesota,Male,24,White
New York,Female,6,White
New York,Female,3,White
Mississippi,Male,18,White
Missouri,Male,76,White
Washington,Female,60,White
Ohio,Female,64,White
District of Columbia,Female,66,White
California,Female,18,White
California,Male,21,Other Asian or Pacific Islander
Georgia,Female,49,Black/Negro
California,Male,9,White
Minnesota,Male,38,White
California,Male,25,Other Asian or Pacific Islander
Florida,Male,48,Two major races
Illinois,Female,25,"Other race, nec"
Ohio,Female,60,White
Florida,Female,51,White
Vermont,Male,53,White
Maryland,Male,21,White
Georgia,Male,2,Black/Negro
New York,Female,44,White
Maine,Female,46,White
California,Male,19,"Other race, nec"
Indiana,Female,48,White
New York,Female,46,White
Ohio,Female,73,White
South Carolina,Female,9,White
Alabama,Female,45,Two major races
South Carolina,Female,70,White
California,Female,15,"Other race, nec"
Minnesota,Male,13,White
California,Female,0,White
New Jersey,Male,10,"Other race, nec"
Virginia,Male,49,White
Tennessee,Female,1,White
Texas,Male,38,White
Georgia,Female,13,White
California,Male,39,White
Arkansas,Male,10,"Other race, nec"
Texas,Male,27,White
Texas,Female,55,Black/Negro
Pennsylvania,Male,26,Other Asian or Pacific Islander
Massachusetts,Female,49,Other Asian or Pacific Islander
Missouri,Female,10,White
Wisconsin,Male,76,White
California,Female,51,White
California,Male,55,White
Iowa,Male,55,White
Texas,Female,31,White
Massachusetts,Female,54,White
Florida,Male,44,White
California,Female,61,White
Iowa,Female,24,White
Arizona,Female,32,White
New York,Male,28,Black/Negro
California,Male,22,White
Michigan,Female,46,White
Oklahoma,Female,22,White
California,Female,62,White
Arkansas,Female,59,White
Maryland,Female,22,White
Michigan,Male,82,White
Kansas,Female,54,White
Illinois,Female,50,White
Georgia,Male,28,Black/Negro
California,Male,54,Two major races
Tennessee,Female,27,White
Pennsylvania,Female,23,Black/Negro
Florida,Male,68,White
California,Female,15,White
Florida,Female,94,White
Wisconsin,Female,78,White
Maryland,Female,1,Black/Negro
New Jersey,Female,38,White
Utah,Male,13,White
Texas,Female,11,White
New Jersey,Female,36,Other Asian or Pacific Islander
California,Female,34,White
Rhode Island,Female,5,Other Asian or Pacific Islander
New Hampshire,Male,0,Other Asian or Pacific Islander
Arkansas,Male,29,White
Iowa,Female,16,White
Georgia,Female,82,White
Tennessee,Female,63,White
New York,Female,18,White
Texas,Female,64,White
Connecticut,Female,79,White
Missouri,Female,37,White
Michigan,Male,63,White
California,Male,22,"Other race, nec"
Alabama,Male,43,White
California,Female,29,Other Asian or Pacific Islander
New York,Female,22,White
Kansas,Female,54,White
Georgia,Male,28,White
Oregon,Female,7,Two major races
Louisiana,Female,53,White
Hawaii,Female,53,White
Ohio,Female,1,Black/Negro
Ohio,Male,20,Black/Negro
Nevada,Male,28,White
Minnesota,Female,3,White
West Virginia,Female,74,White
Washington,Male,55,White
Colorado,Male,34,White
Pennsylvania,Male,66,Black/Negro
New York,Female,38,"Other race, nec"
Kentucky,Male,46,White
Michigan,Female,43,White
California,Female,0,Other Asian or Pacific Islander
Illinois,Female,19,Black/Negro
Florida,Female,17,White
Ohio,Female,33,White
Indiana,Male,61,Other Asian or Pacific Islander
California,Male,37,White
California,Female,69,White
Illinois,Female,41,White
Washington,Male,24,Two major races
California,Female,75,Two major races
Delaware,Male,23,Black/Negro
Michigan,Male,64,White
Texas,Male,6,White
Minnesota,Female,58,White
North Carolina,Male,29,Black/Negro
Arizona,Female,58,White
Texas,Male,4,White
Nevada,Female,4,"Other race, nec"
New York,Male,28,White
North Carolina,Male,78,Black/Negro
Connecticut,Female,23,Chinese
California,Male,28,White
Maryland,Male,12,Black/Negro
Illinois,Female,39,Black/Negro
Pennsylvania,Female,26,Two major races
Michigan,Female,15,Black/Negro
Maryland,Female,18,Black/Negro
Ohio,Female,41,White
Kentucky,Female,53,Black/Negro
Missouri,Male,34,White
Massachusetts,Male,23,Other Asian or Pacific Islander
Utah,Female,2,White
Texas,Female,31,Black/Negro
Utah,Female,4,Two major races
Illinois,Male,59,White
Kansas,Male,33,White
Rhode Island,Female,5,"Other race, nec"
Wisconsin,Male,47,White
Texas,Male,59,White
Wisconsin,Female,67,White
Nebraska,Female,53,White
Illinois,Female,55,Black/Negro
Kentucky,Female,15,Two major races
Colorado,Male,31,White
Alabama,Male,2,White
Minnesota,Male,11,White
New Jersey,Female,5,White
Louisiana,Female,27,Black/Negro
California,Female,20,Other Asian or Pacific Islander
Vermont,Male,2,White
Illinois,Male,60,White
Tennessee,Male,17,Black/Negro
Texas,Female,58,White
Washington,Male,60,White
Arizona,Female,53,White
California,Male,34,White
Tennessee,Male,16,"Other race, nec"
Alaska,Male,30,White
Minnesota,Male,29,White
California,Female,52,Black/Negro
Virginia,Male,54,White
Arizona,Male,7,White
Pennsylvania,Female,3,Black/Negro
Massachusetts,Male,86,White
Oregon,Female,15,White
Michigan,Male,15,White
South Carolina,Male,42,White
Ohio,Male,28,White
Nevada,Male,57,Japanese
Alabama,Male,53,White
Missouri,Female,89,White
Illinois,Male,8,White
Connecticut,Male,54,Black/Negro
Florida,Female,41,White
North Dakota,Male,43,White
Ohio,Male,12,White
Indiana,Female,22,White
Florida,Male,55,White
Ohio,Female,2,White
New York,Female,57,Other Asian or Pacific Islander
Florida,Male,47,White
Washington,Male,35,Chinese
California,Female,81,White
Florida,Female,23,White
Montana,Female,46,White
Ohio,Male,73,White
New York,Male,38,White
Florida,Female,11,White
Florida,Male,67,White
California,Male,32,White
Texas,Female,65,White
Colorado,Male,34,White
North Carolina,Female,82,White
California,Male,7,Two major races
California,Male,19,White
Pennsylvania,Female,14,Black/Negro
Texas,Male,11,Black/Negro
New York,Female,21,White
New York,Female,67,White
Texas,Male,23,White
California,Female,5,"Other race, nec"
Missouri,Male,63,White
California,Male,42,White
Washington,Male,18,White
Maryland,Male,66,White
Florida,Female,3,White
Ohio,Male,52,White
Wisconsin,Male,1,White
Virginia,Female,59,White
Florida,Male,28,White
Connecticut,Male,17,White
North Carolina,Male,56,Black/Negro
Oklahoma,Male,29,Black/Negro
Wisconsin,Female,7,White
California,Female,68,White
California,Female,17,Two major races
Maryland,Male,56,Black/Negro
Washington,Female,35,White
Mississippi,Male,44,Black/Negro
Texas,Male,6,White
New York,Female,53,White
Illinois,Female,58,American Indian or Alaska Native
Wisconsin,Female,28,White
Michigan,Female,4,White
Georgia,Female,2,White
Arkansas,Female,38,White
Illinois,Male,43,White
Minnesota,Male,3,White
Florida,Female,19,White
Texas,Female,8,White
Florida,Female,83,White
District of Columbia,Male,59,White
Delaware,Male,25,White
Florida,Female,62,White
Georgia,Male,64,White
Wisconsin,Male,11,White
New York,Female,34,White
New Mexico,Female,62,American Indian or Alaska Native
Nevada,Female,51,White
Florida,Male,45,White
North Carolina,Male,42,White
Arkansas,Male,47,White
Michigan,Female,52,White
Missouri,Male,11,White
Florida,Female,15,White
Georgia,Female,59,Black/Negro
Georgia,Female,18,Black/Negro
Florida,Male,52,White
Maine,Male,28,White
Florida,Male,20,White
Florida,Male,32,Black/Negro
California,Female,65,White
Colorado,Female,72,White
Florida,Male,14,Black/Negro
Louisiana,Female,80,White
Nevada,Female,52,White
California,Female,11,White
Arizona,Female,27,White
Texas,Female,2,White
Florida,Male,60,White
California,Male,20,White
Arkansas,Female,16,White
Maryland,Male,60,White
Pennsylvania,Female,32,White
California,Male,56,"Other race, nec"
Wisconsin,Male,4,White
Arkansas,Female,36,White
North Carolina,Female,77,Black/Negro
Michigan,Female,44,White
Arizona,Male,31,White
Pennsylvania,Female,15,White
Kansas,Male,23,White
Arizona,Female,73,White
New York,Male,43,White
Oklahoma,Male,0,Three or more major races
Wisconsin,Male,17,White
Washington,Male,5,White
Washington,Female,14,White
Pennsylvania,Male,94,White
Michigan,Male,57,White
California,Male,21,White
New York,Male,43,White
Oregon,Male,50,White
Louisiana,Female,26,Black/Negro
Washington,Female,61,White
New York,Female,33,White
Tennessee,Female,34,White
Texas,Male,68,White
Wisconsin,Female,2,White
Georgia,Male,17,Other Asian or Pacific Islander
Ohio,Male,43,White
Georgia,Male,48,White
Missouri,Male,29,White
Minnesota,Female,76,White
Louisiana,Female,57,White
Texas,Female,58,Black/Negro
Maryland,Female,87,White
Michigan,Male,71,White
Florida,Male,44,White
New Jersey,Male,36,Black/Negro
Florida,Male,76,White
Pennsylvania,Female,32,"Other race, nec"
New York,Male,79,White
Florida,Male,24,White
Alabama,Female,52,White
West Virginia,Male,5,White
Massachusetts,Female,48,White
Minnesota,Male,52,White
Texas,Male,14,White
North Carolina,Female,61,White
Ohio,Female,60,Other Asian or Pacific Islander
Oregon,Female,25,White
Alaska,Male,24,White
Florida,Male,27,Black/Negro
California,Female,37,Chinese
Illinois,Female,3,White
Minnesota,Female,27,White
Mississippi,Female,49,White
Texas,Female,58,White
Ohio,Female,70,White
Texas,Female,5,White
Virginia,Male,19,Black/Negro
North Carolina,Male,28,White
Illinois,Female,30,Black/Negro
Ohio,Female,4,White
Florida,Male,15,White
Texas,Female,52,White
Florida,Female,69,Black/Negro
Idaho,Female,64,White
Arkansas,Female,23,Black/Negro
New York,Male,21,White
Tennessee,Female,20,Black/Negro
Minnesota,Female,44,White
Minnesota,Female,49,White
Michigan,Male,39,White
Texas,Male,61,White
North Carolina,Female,56,White
Utah,Male,15,White
Maryland,Male,34,White
Texas,Female,7,Other Asian or Pacific Islander
Alaska,Female,12,Two major races
Florida,Male,2,White
New York,Male,40,White
Georgia,Male,53,Black/Negro
Michigan,Female,28,White
Illinois,Male,21,"Other race, nec"
Georgia,Male,47,Black/Negro
North Carolina,Male,68,White
Florida,Female,28,Black/Negro
Florida,Female,5,White
New Jersey,Female,56,White
Tennessee,Female,12,White
Illinois,Female,73,White
Virginia,Female,9,White
Texas,Female,10,White
Colorado,Male,22,White
South Dakota,Female,56,White
California,Female,24,"Other race, nec"
California,Male,15,White
Minnesota,Female,31,White
Texas,Female,72,White
Colorado,Female,42,Two major races
Massachusetts,Male,73,White
New York,Female,39,Black/Negro
California,Male,13,White
Florida,Female,21,White
Virginia,Male,0,Two major races
Oregon,Female,47,White
Iowa,Female,45,White
New Jersey,Male,0,Black/Negro
Washington,Male,10,White
California,Female,52,Black/Negro
Texas,Male,49,White
Massachusetts,Male,77,White
Illinois,Female,18,Black/Negro
Massachusetts,Male,36,"Other race, nec"
Ohio,Male,25,White
Colorado,Female,17,White
Michigan,Female,40,White
New York,Female,83,White
California,Female,63,"Other race, nec"
Arizona,Female,52,American Indian or Alaska Native
California,Male,57,White
Illinois,Female,50,White
California,Male,49,White
Illinois,Male,55,White
Michigan,Female,11,Black/Negro
Texas,Male,9,White
Oklahoma,Male,54,White
New York,Female,94,White
Texas,Female,25,White
Oklahoma,Female,39,White
Tennessee,Female,3,White
Indiana,Male,56,White
Arizona,Male,49,Black/Negro
Missouri,Female,40,White
California,Male,69,"Other race, nec"
California,Female,69,White
Pennsylvania,Male,58,White
California,Male,19,White
New York,Female,72,Black/Negro
Texas,Male,4,"Other race, nec"
Tennessee,Male,60,White
Michigan,Male,1,White
Kentucky,Female,51,Black/Negro
Florida,Female,34,White
Massachusetts,Female,48,White
Washington,Female,0,White
California,Male,27,White
Minnesota,Female,56,White
Maryland,Male,63,White
Massachusetts,Female,83,"Other race, nec"
Texas,Female,64,White
New York,Male,47,"Other race, nec"
Texas,Male,32,White
California,Female,13,Two major races
New York,Male,28,White
Indiana,Male,14,White
South Carolina,Female,36,White
Indiana,Male,42,White
California,Female,43,White
North Carolina,Male,63,White
Washington,Female,52,White
Pennsylvania,Male,1,White
California,Male,33,White
Massachusetts,Female,81,White
Florida,Female,12,White
Florida,Male,50,White
New Mexico,Male,49,"Other race, nec"
New York,Female,41,White
California,Male,18,Other Asian or Pacific Islander
Kentucky,Female,21,White
Nebraska,Female,36,White
South Dakota,Female,49,White
Texas,Male,6,Two major races
Idaho,Female,14,White
California,Male,54,White
California,Female,34,Other Asian or Pacific Islander
Kentucky,Female,11,White
Virginia,Female,8,White
Pennsylvania,Male,4,White
Wisconsin,Female,49,White
North Carolina,Male,23,White
Tennessee,Female,5,White
Illinois,Female,42,Black/Negro
North Dakota,Male,58,White
Tennessee,Male,27,White
California,Male,23,White
Missouri,Male,54,White
Kentucky,Male,3,White
Washington,Female,3,Japanese
California,Female,48,White
Pennsylvania,Female,8,Other Asian or Pacific Islander
Tennessee,Female,39,White
Arizona,Male,41,"Other race, nec"
New York,Female,46,White
Georgia,Male,49,White
Michigan,Female,27,White
Washington,Female,51,White
Pennsylvania,Male,8,"Other race, nec"
Ohio,Female,14,White
California,Male,26,White
Vermont,Male,6,White
Arizona,Male,26,White
New York,Male,78,White
Illinois,Male,30,White
California,Male,59,White
New York,Female,20,White
Massachusetts,Male,38,White
North Carolina,Male,31,White
Texas,Female,0,Two major races
Oregon,Male,16,White
Tennessee,Female,4,White
Iowa,Male,81,White
California,Male,50,"Other race, nec"
Texas,Male,61,White
Texas,Female,24,White
Maine,Male,66,White
Alabama,Male,50,White
Kansas,Female,0,White
Michigan,Male,21,White
Connecticut,Female,9,Two major races
Virginia,Female,49,Black/Negro
New York,Male,74,White
North Carolina,Female,43,White
California,Male,28,White
California,Female,9,White
Maine,Male,15,White
New York,Male,9,Other Asian or Pacific Islander
North Dakota,Male,50,White
Alabama,Female,19,White
California,Female,25,Chinese
New York,Male,20,White
Pennsylvania,Male,57,White
Virginia,Female,41,White
Arkansas,Female,71,White
Michigan,Female,85,White
Alabama,Male,11,"Other race, nec"
Texas,Female,34,White
Florida,Female,10,White
Ohio,Male,18,White
Florida,Male,34,White
Missouri,Male,26,White
Florida,Female,36,"Other race, nec"
Virginia,Male,35,White
Texas,Female,18,White
Washington,Male,43,White
Maryland,Female,5,"Other race, nec"
Missouri,Female,12,White
Florida,Female,41,White
North Carolina,Male,52,White
Ohio,Female,89,Black/Negro
California,Male,56,White
Texas,Male,40,"Other race, nec"
Pennsylvania,Female,54,White
Pennsylvania,Male,52,White
Florida,Male,45,Black/Negro
Michigan,Female,20,Black/Negro
California,Male,53,White
Oregon,Female,84,White
Texas,Male,7,White
New York,Female,68,White
Florida,Female,90,Other Asian or Pacific Islander
Arkansas,Female,39,White
Illinois,Female,3,Two major races
Michigan,Male,18,White
Mississippi,Male,17,American Indian or Alaska Native
West Virginia,Male,2,Black/Negro
Ohio,Female,75,White
Washington,Male,28,White
California,Male,17,White
Georgia,Female,78,White
Illinois,Female,65,White
New York,Female,15,White
North Carolina,Male,39,Black/Negro
Washington,Female,50,White
Florida,Male,21,Other Asian or Pacific Islander
Florida,Female,58,White
New York,Male,39,White
Ohio,Male,27,"Other race, nec"
Texas,Female,36,White
Indiana,Female,22,White
Texas,Female,22,"Other race, nec"
New York,Female,25,White
New York,Male,17,"Other race, nec"
Idaho,Male,59,White
South Carolina,Female,50,White
California,Male,37,Other Asian or Pacific Islander
North Carolina,Male,5,White
New Jersey,Male,50,White
Massachusetts,Male,15,White
South Carolina,Male,83,White
North Carolina,Female,62,Black/Negro
California,Female,71,"Other race, nec"
Texas,Female,49,"Other race, nec"
Maine,Male,85,White
Massachusetts,Female,82,White
Florida,Female,74,White
California,Female,20,White
Alabama,Male,54,White
California,Male,16,White
Massachusetts,Male,73,White
Florida,Male,60,White
Washington,Female,22,Other Asian or Pacific Islander
Florida,Female,72,White
California,Female,17,"Other race, nec"
Virginia,Male,37,Other Asian or Pacific Islander
California,Male,37,White
Massachusetts,Male,68,White
Arizona,Female,42,White
Colorado,Female,6,White
Minnesota,Female,55,White
Nevada,Female,66,White
Texas,Female,35,Two major races
Arizona,Male,54,White
South Carolina,Female,60,Black/Negro
Washington,Female,22,White
California,Male,9,White
Minnesota,Female,27,White
Massachusetts,Female,63,Black/Negro
Iowa,Male,76,White
Michigan,Male,27,White
California,Female,27,Other Asian or Pacific Islander
Florida,Female,48,White
Alabama,Female,40,White
Georgia,Female,29,White
New York,Male,23,"Other race, nec"
Massachusetts,Male,11,White
Florida,Male,52,White
California,Female,2,White
New Jersey,Male,61,White
Georgia,Male,10,Black/Negro
Texas,Male,28,White
Tennessee,Female,29,Black/Negro
Ohio,Female,41,White
California,Male,19,Other Asian or Pacific Islander
Texas,Male,68,Japanese
Texas,Male,3,White
Texas,Male,68,White
New Mexico,Male,31,American Indian or Alaska Native
California,Female,18,White
Florida,Male,69,White
Idaho,Female,67,White
Pennsylvania,Female,41,White
Florida,Female,81,White
Washington,Male,41,Other Asian or Pacific Islander
Georgia,Male,4,White
Wisconsin,Male,77,White
West Virginia,Male,50,White
Indiana,Female,11,White
Georgia,Female,37,White
Illinois,Female,19,White
Pennsylvania,Male,63,White
Wisconsin,Male,46,White
Indiana,Female,63,White
Ohio,Male,10,White
Pennsylvania,Male,32,White
Massachusetts,Female,73,White
Pennsylvania,Male,54,White
Florida,Female,21,Black/Negro
Pennsylvania,Female,35,White
Oregon,Female,50,White
Wisconsin,Male,13,Other Asian or Pacific Islander
New York,Female,9,White
Idaho,Female,3,White
Iowa,Male,62,White
Georgia,Female,55,Black/Negro
Massachusetts,Female,23,White
Texas,Female,16,Black/Negro
New Mexico,Female,53,White
Arizona,Female,64,White
Florida,Female,42,White
New Jersey,Male,71,White
Michigan,Female,49,White
Georgia,Female,84,Black/Negro
Texas,Female,75,White
California,Male,34,Black/Negro
Tennessee,Male,39,White
Minnesota,Male,54,White
Texas,Female,24,Black/Negro
West Virginia,Female,11,White
California,Male,43,Two major races
California,Male,56,White
Pennsylvania,Female,25,White
North Dakota,Male,85,White
Texas,Female,32,White
Kansas,Male,73,White
North Carolina,Female,3,Black/Negro
Texas,Male,6,White
Kansas,Male,4,Two major races
Louisiana,Male,20,White
Idaho,Male,27,White
California,Female,53,White
Illinois,Female,49,"Other race, nec"
Minnesota,Female,49,White
New York,Female,10,White
Florida,Male,31,Black/Negro
Arkansas,Female,54,Black/Negro
Pennsylvania,Male,61,White
Michigan,Male,85,White
Connecticut,Female,35,White
Virginia,Female,47,Black/Negro
Nevada,Male,15,Black/Negro
Florida,Male,25,White
North Dakota,Female,54,White
